text	class_label	confidence
whi wa documentari film anti semit labour debat ban screen british parliament aj opinion neve gordon	Politics
world cup logo <NUM> ðŸ‡¶ðŸ‡¦	Sports
scientist warn dramat declin number insect directli threaten life earth	Environment
made string deepli offens bigot remark bori johnson ha elect uk next pm rule conserv parti hi critic say lack qualiti leader	Politics
mobil clinic save live india assam state pictur	Health
yoga someth also help self awar help depress afghanistan onli yoga studio war weari women	Health
european famili feel safer scotland england	Other Categories
held respons thousand yemeni die starvat aj stream look humanitarian crisi yemen war join convers live youtub	War and Conflicts
burberri dolc amp gabbana whi big brand buy muslim fashion aj ctc	Other Categories
thi day <NUM> blackwat privat secur contractor kill wound dozen iraqi civilian baghdad nisour squar aj head head challeng blackwat founder erik princ hi firm role iraq amp hi plan privatis afghan war	War and Conflicts
israel elect parti stand occup	Politics
decad religi figur sexual assault children pope franci attempt resolv crisi vatican first summit child sex abus	Religion
<NUM> year old citi emerg bank tigri river drought hit northern iraq atlanti	Environment
brexit crisi deepen tori rebellion mount	Politics
insid cell <NUM> hour day surviv migrant shelter us detent mental ill	Health
eu leader fail show unit front climat chang	Environment
un condemn saudi led attack prison call account <NUM> peopl presum kill bomb dhamar sunday deadliest hit thi year	War and Conflicts
whi israel fear boycott divest sanction bd movement	Politics
